Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1729516424.3800538,17487,1729516423,841568343,imu,-0.03143249780919153,-0.005676159798553034,0.1308568452483624,-0.9908866056936397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06666666666666667,0.07111111111111111,-2.0166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.34,1.01,-3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729516424.380141,17488,1729516423,853797880,imu,-0.033264349629489466,-0.00518801783212221,0.14050372999465094,-0.9895075893454739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4111111111111111,-0.11555555555555555,-2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.86,3.82,-2.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729516424.380352,17489,1729516423,862965825,imu,-0.03393631869398665,-0.003540119575991413,0.1498447165354986,-0.9881206175124998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2111111111111111,-0.38222222222222224,-1.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.15,4.26,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729516424.380703,17490,1729516423,872217034,imu,-0.03289862457562805,-0.0027466384154049388,0.15869466400117424,-0.9867756280411477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17555555555555555,-0.27111111111111114,-1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.04,3.9,-0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729516424.3807979,17491,1729516423,887944999,imu,-0.031005597411104056,-0.003295870590944132,0.16699077660783604,-0.9854653066922955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3988888888888889,0.01,-1.7755555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.81,1.1,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729516424.380941,17492,1729516423,896006279,imu,-0.029358688659655338,-0.005310199404137244,0.17511450678700866,-0.9840959194586757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4022222222222222,0.3055555555555556,-1.7444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92,2.87,-3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729516424.3900218,17493,1729516423,905899606,imu,-0.029235753967023843,-0.0072021272820643285,0.18359321071567372,-0.982541059209081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06666666666666667,0.3377777777777778,-1.8177777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.53,2.85,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729516424.3901498,17494,1729516423,913908757,imu,-0.0296021986076471,-0.007934609936070357,0.19207859591394932,-0.9809008944814361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06222222222222222,0.11333333333333333,-1.8322222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,-0.07,-0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729516424.3915112,17495,1729516423,922565114,imu,-0.029602457598658136,-0.008178823336536474,0.20025909975504608,-0.9792615045626208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015555555555555555,-0.0077777777777777776,-1.748888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.54,2.68,-0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729516424.3936903,17496,1729516423,931436704,imu,-0.029602457598658136,-0.008178823336536474,0.20025909975504608,-0.9792615045626208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015555555555555555,-0.0077777777777777776,-1.748888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.72,-1.47,-1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
