time,batch_size,batch_mean_reward,batch_min_reward,batch_max_reward,batch_done_count,episodes_completed_total,transitions_total,replay_buffer_size
87.943,32,0.05077829234069213,-0.09972417112439871,0.19116383884102106,0,269,44639,44639
88.051,32,0.2769411825313,0.07309434190392491,0.4039440110325813,0,269,44671,44671
88.054,32,0.20463045994983986,-0.09856710340827707,0.46285688132047653,0,269,44703,44703
88.171,32,0.17833496940584154,0.02095041424036026,0.3074395522475243,0,269,44735,44735
88.174,32,-0.025468853028087327,-0.36483273953199385,0.11040483117103576,0,269,44767,44767
88.28,32,0.07409790905658156,-0.04580286853015422,0.21653345674276353,0,269,44799,44799
88.283,32,0.13322170379396994,-0.040102613158524036,0.32161719277501105,0,269,44831,44831
88.395,32,0.031185339501826094,-0.07418356090784073,0.14349114261567594,0,269,44863,44863
88.398,32,0.22848544275839233,0.10009125266224146,0.32711207596585157,0,269,44895,44895
88.505,32,0.17523097081357264,0.09001161418855191,0.2805340617895126,0,269,44927,44927
88.508,32,0.05198546102037653,-0.2505112588405609,0.24656895585358143,0,269,44959,44959
88.618,32,0.08096508786984487,-0.23072020560503007,0.22029739171266555,0,269,44991,44991
88.62,32,0.07274345200712559,-0.21391937583684922,0.1785438817925751,0,269,45023,45023
88.735,32,0.11831130101381859,-0.039437241107225435,0.24376458665356043,0,269,45055,45055
88.738,32,0.22191409594233846,0.02105963751673698,0.38567946329712866,0,269,45087,45087
88.849,32,0.4425469917987357,0.2781761487014592,0.5531685423105955,0,269,45119,45119
88.852,32,0.22711981758475305,-0.0437337040901184,0.47401283495128155,0,269,45151,45151
88.961,32,0.1035968408214103,-0.17798585128039124,0.27741039991378785,0,269,45183,45183
88.964,32,0.03739390200062189,-0.35235126614570617,0.1988991752266884,0,269,45215,45215
89.068,32,0.04170003785548033,-0.42952765822410577,0.21647159233689306,0,269,45247,45247
89.071,32,-0.005533867408667003,-0.16342219070065767,0.09072018712759017,0,269,45279,45279
89.183,32,0.12267107875668445,-0.025440762937068942,0.3010240476578474,0,269,45311,45311
89.186,32,0.07414755602294464,-0.05218671397306025,0.2725464399904013,0,269,45343,45343
89.303,32,0.15503392763930607,-0.11351946815848352,0.3369202852249145,0,269,45375,45375
89.307,32,0.3249218789045699,0.12970383614301678,0.4682154580950737,0,269,45407,45407
89.416,32,0.14865798172104405,0.015763939917087577,0.24839553870260717,0,269,45439,45439
89.419,32,0.10787952972023049,-0.3458081610500812,0.3174351915717125,0,269,45471,45471
89.53,32,0.05224368227063679,-0.088610209338367,0.1500550352036953,0,269,45503,45503
89.533,32,0.16828326958057005,0.01977609209716319,0.3467425093054771,0,269,45535,45535
89.646,32,0.004316004668362434,-0.10523510556668043,0.09928627908229827,0,269,45567,45567
89.65,32,0.17644273237820018,-0.02328638285398482,0.2847529877908528,0,269,45599,45599
89.763,32,0.18749924028816167,0.04697224497795105,0.32860712078399956,0,269,45631,45631
89.767,32,0.1576637736725388,-0.06074603274464607,0.25413860771805047,0,269,45663,45663
89.873,32,0.023578337795402145,-0.1369319289922714,0.2507097048684954,0,269,45695,45695
89.875,32,0.13388837531965692,-0.13317574933171275,0.25276488438248634,0,269,45727,45727
89.995,32,0.10533823645700977,-0.03281766250729559,0.23618838265538217,0,269,45759,45759
89.998,32,0.16081344990452634,-0.05141707807779314,0.33611724227666856,0,269,45791,45791
90.107,32,0.39793405665404863,0.1842266198247671,0.5382830357179046,0,269,45823,45823
90.11,32,0.3063536957331962,0.010634247009875253,0.5268986019305885,0,269,45855,45855
90.222,32,0.13847801695956152,-0.012356132082641136,0.25214140797033907,0,269,45887,45887
90.224,32,0.05995011827835696,-0.12697106003761294,0.14837290830910205,0,269,45919,45919
90.332,32,-0.017072356113931163,-0.21395826935768125,0.17147795893251894,0,269,45951,45951
90.446,32,0.02430210740858456,-0.5165068618953228,0.2040853600949049,0,269,45983,45983
90.449,32,0.024826234125066543,-0.08638084791600704,0.13110955767333507,0,269,46015,46015
90.449,32,0.1290288025600603,-0.14116912409663201,0.2476483765989542,0,269,46047,46047
90.56,32,0.0417226101126289,-0.045942265540361404,0.147106909006834,0,269,46079,46079
90.673,32,0.25472406866174424,0.032633449882268906,0.4116965469904244,0,269,46111,46111
90.674,32,0.2505594583810307,-0.025180723145604156,0.43478744234889743,0,269,46143,46143
90.781,32,0.1542267094235285,-0.048546048626303684,0.3172399118542671,0,269,46175,46175
90.784,32,0.07960767403128556,-0.063066765666008,0.2384785056114197,0,269,46207,46207
90.898,32,0.08899357841364691,-0.03250921592116357,0.19273175261914732,0,269,46239,46239
90.902,32,0.14118891008984066,-0.06823383755981924,0.3434555232524872,0,269,46271,46271
91.011,32,0.06648908718852908,-0.1362288177013397,0.24650798141956326,0,269,46303,46303
91.014,17,0.1846792126649662,0.006911371275782563,0.24634555480442943,1,270,46320,46320
91.122,32,0.06605820009426679,-0.44805498458445076,0.23135909140110017,0,270,46352,46352
91.168,32,0.1876692659541732,0.03313625939190387,0.31808099895715714,0,270,46384,46384
91.188,32,0.18815378609724576,0.10728698838502165,0.27550362441688775,0,270,46416,46416
91.198,32,0.03150345587491756,-0.23679770231246952,0.17206100411713124,0,270,46448,46448
91.252,32,0.09199294675399869,-0.1211799452605192,0.21364387981593608,0,270,46480,46480
91.315,32,0.13823615251021693,0.02500626221299171,0.24478318039327862,0,270,46512,46512
91.367,32,0.1413910726303584,0.0201261043548584,0.2745937392115593,0,270,46544,46544
91.415,32,0.40036140693118794,0.2621273897588253,0.5478531250730156,0,270,46576,46576
91.471,32,0.3085637858057453,0.032392798026558034,0.5088213908020407,0,270,46608,46608
91.532,32,0.149225247713548,-0.04284512791782616,0.2724062416702509,0,270,46640,46640
91.592,32,0.0230029799253316,-0.15887535987421875,0.11749217724427581,0,270,46672,46672
91.652,32,-0.006931763223838065,-0.2400694876909256,0.12880306094884872,0,270,46704,46704
91.72,32,0.05737503556010779,-0.23480092771351335,0.20989315295591948,0,270,46736,46736
91.78,32,0.036806440912187086,-0.2061624333262444,0.1489916153252125,0,270,46768,46768
91.838,32,0.15263450848215143,0.0004966735839843639,0.2891567852348089,0,270,46800,46800
91.996,32,0.05646512468338187,-0.06811232529580594,0.17682743445038795,0,270,46832,46832
91.999,32,0.26853676133905535,0.10314155630767347,0.39679244570434097,0,270,46864,46864
92.109,32,0.28741802139265926,-0.08288095295429232,0.481208596425131,0,270,46896,46896
92.112,32,0.19339239713117423,-0.008724084403365862,0.32266156077384944,0,270,46928,46928
92.216,32,0.04655108578153886,-0.17995218560099607,0.2211148113012314,0,270,46960,46960
92.219,32,0.14235317058046348,-0.011192640662193276,0.28459394276142125,0,270,46992,46992
92.354,32,0.08851449883077293,-0.0646553235128522,0.31019795313477516,0,270,47024,47024
92.466,32,0.03184288310585544,-0.12219805270433429,0.177479587495327,0,270,47056,47056
92.572,32,0.21857059599133208,0.0024382295086979866,0.32390954419970514,0,270,47088,47088
92.574,32,0.14525885537514113,0.03982923254370688,0.2458413638174534,0,270,47120,47120
92.684,32,0.07259700781432912,-0.10968233197927477,0.19561527930200098,0,270,47152,47152
92.687,32,0.05329813025891781,-0.1081484466791153,0.1859084665775299,0,270,47184,47184
92.796,32,0.08887292400359001,-0.13360399277880788,0.2550216147210449,0,270,47216,47216
92.799,32,0.11678873079763434,-0.10677858851850036,0.2644963461905718,0,270,47248,47248
92.909,32,0.23913797295754197,0.07237327946349979,0.42708093822002413,0,270,47280,47280
92.912,32,0.4226723181291163,0.28515564426779744,0.5154014701023698,0,270,47312,47312
93.022,32,0.20396518083289267,0.03805461265146731,0.38239610055461526,0,270,47344,47344
93.025,32,0.05551756667264272,-0.26378711424767975,0.2303702361881733,0,270,47376,47376
93.136,32,0.025633312837453553,-0.13935442045331,0.15112905278801916,0,270,47408,47408
93.139,32,0.029497977785649707,-0.24587429165840147,0.18824931755661964,0,270,47440,47440
93.249,32,0.04464913074771175,-0.31659754179418087,0.18391665183007716,0,270,47472,47472
93.252,32,0.07856747051700949,-0.030389977246522926,0.2109169460833073,0,270,47504,47504
93.362,32,0.11575991390418494,-0.215743962675333,0.27320678159594536,0,270,47536,47536
93.365,32,0.13974487900522944,0.006003474444150947,0.2913499347865582,0,270,47568,47568
