timestamp,time,episode_lengths,episode_rewards,episode_mean_step_rewards,lap_times,reward_difficulty,difficulty,total_timesteps,training_duration,replay_buffer_size,batch_size,gradient_steps,learning_rate,actor_loss,critic_loss,ent_coef_loss,ent_coef,total_weight_updates,UDT
2026-04-02 13:59:14,45.23111534118652,"[570, 99, 171, 140]","[-166.10238993785677, -47.286800532536695, -53.222247543253914, -62.423538862751286]","[-0.2914077016453627, -0.47764444982360293, -0.3112412137032391, -0.4458824204482237]",[],,,22839,0.8399655818939209,22839,256,256,0.0003,0.32216382026672363,2.0746383666992188,-4.140556335449219,0.1590247005224228,6400,0.28022242655107493
2026-04-02 13:59:15,46.68175268173218,"[440, 164, 196, 109, 100]","[-129.26378942185315, -53.62738309747356, -56.878840171630365, -44.03048689761345, -39.28143697529683]","[-0.2937813395951207, -0.32699623839922903, -0.29019816414097127, -0.4039494210790225, -0.3928143697529683]",[],,,23848,0.7970271110534668,23848,256,256,0.0003,1.0802019834518433,0.5007762312889099,-4.271939754486084,0.14881294965744019,6656,0.2791009728279101
2026-04-02 13:59:17,48.32720685005188,"[119, 153, 219, 192, 179, 109, 101]","[-45.78030950464658, -50.51157551931422, -64.0782814932866, -72.18440621926328, -43.91055503578421, -45.81953902417799, -33.80201796017793]","[-0.3847084832323242, -0.33014101646610605, -0.29259489266340905, -0.37596044905866277, -0.24531036332840342, -0.42036274334108253, -0.3346734451502764]",[],,,24920,0.8253538608551025,24920,256,256,0.0003,0.540137529373169,2.5613255500793457,-3.783771514892578,0.13939708471298218,6912,0.27736757624398073
2026-04-02 13:59:18,49.81495237350464,"[117, 197, 90, 138, 124, 203]","[-36.660807895769885, -76.4514222290232, -39.74342227551317, -35.90056794094213, -39.07138761638962, -55.21462081228267]","[-0.3133402384253836, -0.3880782854265136, -0.4415935808390352, -0.26014904305030534, -0.3150918356160453, -0.27199320597183574]",[],,,25789,0.8247101306915283,25789,256,256,0.0003,1.1301180124282837,1.6735093593597412,-4.151614189147949,0.13068483769893646,7168,0.2779479623095118
2026-04-02 13:59:20,51.27950620651245,"[188, 201, 162, 107, 134, 92, 99]","[-51.45169297882589, -47.882568119958385, -48.034042950842135, -29.078451879266197, -34.32823758393722, -30.722144201434233, -29.244419302855672]","[-0.2736792179724781, -0.23822173194009133, -0.29650643796816123, -0.27176123251650647, -0.25618087749206875, -0.3339363500155896, -0.29539817477631986]",[],,,26772,0.7944531440734863,26772,256,256,0.0003,0.7976083755493164,5.1513824462890625,-3.5428261756896973,0.12254130840301514,7424,0.2773046466457493
2026-04-02 13:59:21,52.94562602043152,"[229, 71, 92, 81, 76, 91, 178, 79, 35, 67]","[-54.259578356405456, -29.54418617403075, -37.352703476189404, -27.919364641767924, -29.530742798319665, -22.160776180789423, -39.44662106459294, -26.006258090359594, -22.31982887593714, -31.799550340192816]","[-0.23694139020264382, -0.4161152982257852, -0.4060076464803196, -0.34468351409590037, -0.3885624052410483, -0.24352501297570797, -0.22161023069996033, -0.32919314038429864, -0.6377093964553469, -0.47462015433123605]",[],,,27771,0.7770156860351562,27771,256,256,0.0003,1.8681681156158447,0.5474069118499756,-4.090336799621582,0.11501888185739517,7680,0.27654747758453063
2026-04-02 13:59:23,54.3908793926239,"[87, 82, 109, 81, 103, 103, 82, 71, 23, 89]","[-28.180276220734306, -34.393890330659914, -38.588850485578945, -31.427169660747623, -27.016159446432688, -27.67320472605364, -26.648398046403422, -28.078746619417576, -18.673876482725134, -19.211340518069612]","[-0.3239112209279805, -0.41943768695926714, -0.35402615124384346, -0.3879897488981188, -0.2622928101595406, -0.2686718905442101, -0.32498046398052954, -0.39547530449883905, -0.8119076731619623, -0.21585775862999565]",[],,,28601,0.7872283458709717,28601,256,256,0.0003,1.6216740608215332,0.7008102536201477,-3.6533889770507812,0.10777785629034042,7936,0.27747281563581694
2026-04-02 13:59:24,56.03217387199402,"[107, 75, 122, 74, 88, 25, 75, 105, 107, 79, 104, 76]","[-36.92794341358147, -18.461889749890627, -31.252712460073624, -23.04841657607646, -31.909670632926442, -19.177140963777923, -29.8787052283054, -30.22514257497818, -27.663585673737387, -24.60343439365157, -31.47562979240702, -24.527788162438718]","[-0.34512096648206986, -0.24615852999854165, -0.25616977426289855, -0.311465088865898, -0.3626098935559823, -0.7670856385511169, -0.3983827363774053, -0.28785850071407787, -0.2585381838667045, -0.3114358784006528, -0.30265028646545206, -0.3227340547689305]",[],,,29638,0.8301224708557129,29638,256,256,0.0003,1.8366143703460693,1.7612535953521729,-4.1458659172058105,0.10096617043018341,8192,0.27640191645860046
2026-04-02 13:59:26,57.42485857009888,"[107, 66, 77, 102, 129, 79, 66, 26, 81, 111, 90]","[-30.633193181916496, -23.218142138688616, -30.277564293720854, -24.586245540989857, -35.56048603082736, -24.478596111555923, -22.804175605486364, -20.29230111887625, -26.501987784412332, -32.578227963991075, -24.110871153105496]","[-0.28629152506464006, -0.3517900324043729, -0.39321512069767345, -0.24104162295088094, -0.27566268240951436, -0.3098556469817206, -0.34551781220433875, -0.7804731199567788, -0.3271850343754609, -0.2934975492251448, -0.2678985683678388]",[],,,30572,0.7566938400268555,30572,256,256,0.0003,2.042768955230713,1.4143226146697998,-3.860588312149048,0.09440751373767853,8448,0.2763312835274107
2026-04-02 13:59:27,58.887627840042114,"[53, 151, 139, 31, 112, 52, 174, 99]","[-19.626349600610244, -39.79454886202609, -30.29000089387212, -19.952943209081432, -34.78269326990339, -21.677815093711782, -44.257219692742105, -37.74610961870198]","[-0.370308483030382, -0.2635400586889145, -0.21791367549548288, -0.6436433293252074, -0.3105597613384233, -0.4168810594944574, -0.2543518373146097, -0.3812738345323432]",[],,,31383,0.8197109699249268,31383,256,256,0.0003,2.5929718017578125,1.4402132034301758,-3.9274587631225586,0.08820565789937973,8704,0.2773476085778925
