obs_idx,count,mean,std,min,max
75,149987,0.3451577727774264,0.5180320357182174,-1.0,1.0
76,149987,0.06246675734696438,0.36555792099659445,-0.9998520016670227,0.9994198083877563
77,149987,0.34554964919769715,0.5187081350617693,-1.0,1.0
78,149987,0.06251088001102714,0.36652250667128095,-0.9998520016670227,0.9994198083877563
79,149987,0.34591653348206014,0.5194341095352945,-1.0,1.0
80,149987,0.05976868909225286,0.37251799455242746,-2.6408567428588867,2.682539224624634
81,149987,0.01253837708382523,0.2914985222480173,-3.1403887271881104,3.1387248039245605
82,149987,0.45965264447614296,0.19045212897507877,0.2654215097427368,1.083131194114685
83,149987,0.4657659698959883,0.18472683854854866,0.2654215097427368,1.083131194114685
84,149987,0.47344009482763044,0.18732427383534028,0.2654215097427368,1.083131194114685
85,149987,0.4880309280581587,0.19391184034795675,0.2654215097427368,1.083131194114685
86,149987,0.5016386202463683,0.20337079974395245,0.2654215097427368,1.083131194114685
87,149987,0.5158275347892879,0.21074912293881903,0.2654215097427368,1.083131194114685
88,149987,0.03927157534742205,0.44112568004203057,-2.8224854469299316,3.334740161895752
89,149987,0.0797620876418978,0.11099041666992933,-0.9159053564071655,0.7110958695411682
90,149987,0.07931556067999944,0.6009684256075485,-6.356007099151611,15.286274909973145
91,149987,0.11801881251613333,0.6440785870848198,-8.275763511657715,21.381196975708008
