# This is F1TENTH simulation from 10.01.2024 at time 14:55:36
# Done with git-revision: unknown
# Starting position :,""[0.0, 0.0, 0.0]""
# Saving: 0.04 s
# Speedfactor 0.5
# Controller: Random input
#
# Data:
time,angular_control,translational_control,angular_vel_z,linear_vel_x,pose_theta,pose_theta_cos,pose_theta_sin,pose_x,pose_y,slip_angle,steering_angle,experiment_index,D_pose_x,D_pose_y,D_pose_theta,D_pose_theta_sin,D_pose_theta_cos,D_linear_vel_x,D_angular_vel_z,D_slip_angle,D_steering_angle,D_car_pose_x,D_car_pose_y
5.68,0.15829097,6.98776,0.15653023,2.8010836,-6.10715,0.98454577,0.17512746,-20.824549,-36.082718,0.0051163808,0.080054276,9,2.491331,0.44527054,-0.08414984,-0.08282438,0.014875829,9.010005,8.286799,0.2124931,1.3039447,2.5308087,0.0020887256
5.72,0.15829097,6.98776,0.42336786,3.1614838,-6.097971,0.9828968,0.18415721,-20.710852,-36.061573,0.0075175515,0.11134895,9,2.8424263,0.5286217,0.22947788,0.22574365,-0.041224062,9.010005,6.670941,0.06002927,0.7823668,2.8911612,-0.0038727522
5.76,0.2027744,6.98776,0.61879075,3.521884,-6.0788517,0.9791964,0.20291467,-20.583292,-36.03618,0.003903586,0.13012576,9,3.1889915,0.634861,0.47798157,0.46893656,-0.09250939,9.010005,4.885572,-0.09034914,0.46942028,3.2514718,-0.02543956
5.8,0.2027744,6.98776,0.7675792,3.8822842,-6.0526595,0.9735464,0.22848944,-20.442074,-36.00566,-0.0032782527,0.15918523,9,3.5304546,0.76293945,0.6548047,0.6393693,-0.14125109,9.010005,3.7197113,-0.17954597,0.72648674,3.6113849,-0.06391466
5.84,0.2027744,6.98776,0.9119103,4.2426844,-6.0203657,0.9656613,0.25980434,-20.287472,-35.968983,-0.012587314,0.1766209,9,3.8650513,0.91695786,0.8073449,0.7828724,-0.19712746,9.010005,3.6082773,-0.23272651,0.43589175,3.97056,-0.11868638
5.88,0.2027744,6.98776,1.0013978,4.6030846,-5.982816,0.9552274,0.29587278,-20.119843,-35.924984,-0.024227843,0.18708229,9,4.190731,1.099968,0.9387374,0.901711,-0.2608478,9.010005,2.2371888,-0.29101324,0.26153475,4.3285513,-0.18920374
5.92,0.2027744,6.98776,1.0322313,4.963485,-5.942304,0.9424604,0.33431768,-19.939598,-35.872528,-0.036623374,0.19335914,9,4.506111,1.3113976,1.0128021,0.96112263,-0.31917393,9.010005,0.77083707,-0.30988827,0.15692115,4.685255,-0.27053225
5.96,0.2027744,6.98776,1.0179328,5.323885,-5.9010587,0.92787373,0.37289456,-19.747202,-35.81053,-0.048279956,0.19712526,9,4.809904,1.5499115,1.0311365,0.96442175,-0.36466718,9.010005,-0.35746396,-0.29141456,0.09415299,5.0409374,-0.35546494
6.0,0.09808272,4.721624,1.140072,5.6237154,-5.8588157,0.91129845,0.4117464,-19.543743,-35.73816,-0.059045542,0.19938493,9,5.0864697,1.8093109,1.0560751,0.9712964,-0.41438192,7.495761,3.0534804,-0.26913965,0.056491792,5.3802695,-0.44551337
10.0,0.37847596,3.2757945,1.3182768,1.5930953,-7.81414,0.03983125,-0.9992064,-7.8848777,-39.70255,0.11861296,0.2951117,15,0.28051138,-1.6347885,0.8919835,0.01962334,0.8917203,-2.1898062,17.577587,-1.4138855,1.3894048,1.6446643,0.21517313
