# This is F1TENTH simulation from 10.01.2024 at time 14:55:36
# Done with git-revision: unknown
# Starting position :,"[0.0, 0.0, 0.0]"
# Saving: 0.04 s
# Speedfactor 0.5
# Controller: Random input
#
# Data:
time,angular_control,translational_control,angular_vel_z,linear_vel_x,pose_theta,pose_theta_cos,pose_theta_sin,pose_x,pose_y,slip_angle,steering_angle,experiment_index,D_pose_x,D_pose_y,D_pose_theta,D_pose_theta_sin,D_pose_theta_cos,D_linear_vel_x,D_angular_vel_z,D_slip_angle,D_steering_angle,D_car_pose_x,D_car_pose_y
3.16,-0.09726204,7.763408,1.668302,7.3725233,-0.8705764,0.6443859,-0.7647005,49.54665,-25.54501,-0.12837633,0.04859585,2,3.82576,-6.2264442,1.8338948,1.1292636,1.444447,2.1480083,-3.4893541,-1.1377139,-2.430965,7.22663,-1.0866723
3.2,-0.09726204,1.1840407,0.8857651,7.4429607,-0.810971,0.6887948,-0.7249564,49.708355,-25.792454,-0.15968762,-0.009747304,2,4.0426254,-6.186104,1.490134,0.993602,1.1102229,1.7609358,-19.563425,-0.7827822,-1.4585788,7.2691946,-1.330229
3.24,-0.09726204,1.1840407,1.3030306,7.0825605,-0.7698045,0.7180468,-0.69599485,49.87595,-26.034138,-0.17637117,-0.044753198,2,4.1898727,-6.042099,1.0291636,0.7240385,0.7312998,-9.010005,10.431639,-0.41708872,-0.87514734,7.2137947,-1.4223797
3.28,-0.09726204,1.1840407,1.3200555,6.7221603,-0.7171891,0.75365627,-0.65726876,50.040863,-26.260038,-0.20388594,-0.06575674,2,4.1228294,-5.6475163,1.3153851,0.9681523,0.8902371,-9.010005,0.42562187,-0.68786925,-0.5250885,6.8191323,-1.5464792
3.32,-0.09726204,1.1840407,1.2520288,6.36176,-0.6650829,0.78686565,-0.6171243,50.20279,-26.470158,-0.22699416,-0.07835886,2,4.0481567,-5.252981,1.302655,1.0036111,0.8302346,-9.010005,-1.7006665,-0.5777053,-0.31505302,6.427098,-1.6351745
3.36,0.09323195,1.1840407,1.1819862,6.00136,-0.61576563,0.81633145,-0.5775837,50.361824,-26.664162,-0.24292023,-0.085920125,2,3.9758682,-4.8501015,1.232931,0.9885162,0.73664486,-9.010005,-1.7510653,-0.39815196,-0.18903166,6.0469656,-1.6628938
3.4,0.09323195,1.1840407,1.3572963,5.6409597,-0.56915146,0.8423586,-0.5389175,50.517925,-26.84175,-0.24918115,-0.014259301,2,3.9025307,-4.4396877,1.1653543,0.9666547,0.6506786,-9.010005,4.3827534,-0.15652291,1.7915206,5.6799555,-1.636667
3.44,0.09323195,1.1840407,2.1253486,5.2805595,-0.50744164,0.8739906,-0.48594284,50.671677,-27.001911,-0.25772402,0.028737199,2,3.8437843,-4.0040493,1.5427455,1.324366,0.79080015,-9.010005,19.201305,-0.21357164,1.0749125,5.3051705,-1.631642
3.48,0.09323195,1.1840407,2.9487066,4.9201593,-0.41392502,0.9155492,-0.40220597,50.82356,-27.143429,-0.2868883,0.054535102,2,3.7970543,-3.537941,2.3379154,2.0934217,1.0389656,-9.010005,20.583952,-0.7291071,0.6449476,4.899371,-1.7119612
3.52,0.09323195,1.1840407,3.6848764,4.559759,-0.28823608,0.9587468,-0.28426152,50.97347,-27.26525,-0.333249,0.07001384,2,3.7477493,-3.0455112,3.1422236,2.9486113,1.0799392,-9.010005,18.404245,-1.1590176,0.38696852,4.458864,-1.8545332
3.56,0.09323195,1.1840407,4.2876806,4.199359,-0.13438192,0.9909843,-0.13397783,51.12113,-27.36596,-0.3880747,0.07930108,2,3.691578,-2.5177479,3.846354,3.7570922,0.80593824,-9.010005,15.070105,-1.3706423,0.23218095,3.9956183,-2.0004592
3.6,0.15499851,2.306549,4.7202363,3.8389587,0.041962393,0.9991197,0.04195008,51.265793,-27.443857,-0.44161066,0.08487343,2,3.6165237,-1.9474506,4.408608,4.3981977,0.20338446,-9.010005,10.813891,-1.3383992,0.13930872,3.5316443,-2.0974498
3.64,0.15499851,2.306549,5.015614,3.4785585,0.23356766,0.97284687,0.23144977,51.405785,-27.497334,-0.4824941,0.112923466,2,3.499794,-1.3369083,4.7901316,4.737492,-0.65682083,-9.010005,7.3844433,-1.0220855,0.70125085,3.0953367,-2.1106336
3.68,0.15499851,2.306549,5.1949763,3.1181583,0.43681613,0.9061032,0.4230567,51.538322,-27.52508,-0.50383073,0.12975349,2,3.313446,-0.693655,5.0812116,4.790173,-1.6685917,-9.010005,4.4840574,-0.5334161,0.4207505,2.7088687,-2.0302985
3.72,0.15499851,2.306549,5.0357065,2.7577581,0.64401364,0.7996924,0.6004099,51.659267,-27.527222,-0.50146323,0.1398515,2,3.0236244,-0.053548813,5.179938,4.4338307,-2.66027,-9.010005,-3.9817452,0.059187412,0.25245026,2.3858182,-1.8582367
3.76,0.15499851,2.306549,4.1936,2.4325266,0.8363846,0.67015064,0.7422251,51.764034,-27.506094,-0.45624962,0.14591031,2,2.6191711,0.5281925,4.8092737,3.5453796,-3.2385437,-8.130789,-21.052658,1.1303402,0.1514703,2.1472769,-1.5900459
3.84,0.31403723,2.306549,0.9346667,2.3163695,1.021384,0.5221861,0.85283154,51.92163,-27.403807,-0.17109777,0.15172677,3,1.7752647,1.5119076,1.3613999,0.7421568,-1.1411206,-0.63381195,-17.701735,3.6417174,0.05452931,2.2164211,-0.7245046
3.88,0.31403723,2.306549,1.0263116,2.309291,1.0574461,0.49109834,0.8711041,51.980186,-27.332165,-0.0760935,0.21665095,3,1.4638901,1.791048,0.90155303,0.45681447,-0.7771939,-0.17696619,2.2911236,2.3751068,1.6231045,2.2791033,-0.39562
3.92,0.31403723,2.306549,1.4110138,2.3073144,1.1027153,0.45117462,0.89243567,52.029457,-27.254093,-0.021703767,0.25560546,3,1.2317657,1.9517899,1.1317283,0.5332887,-0.9980932,-0.04941225,9.617555,1.3597434,0.97386277,2.2975883,-0.21867359
3.96,0.31403723,2.306549,1.6736537,2.3067627,1.1622152,0.39730763,0.9176855,52.071087,-27.171751,0.0031329142,0.27897817,3,1.0407448,2.0585537,1.4874995,0.631246,-1.3466746,-0.013792515,6.565997,0.620917,0.58431774,2.3026006,-0.13719732
4.0,0.31403723,1.3363409,1.8296461,2.3066087,1.2310002,0.3332949,0.94282264,52.10577,-27.08627,0.013506786,0.29300177,3,0.8670807,2.137041,1.7196238,0.62842816,-1.6003184,-0.00385046,3.8998096,0.25934678,0.35059005,2.3038442,-0.10523838
4.04,0.31403723,1.3363409,2.5185943,1.9462086,1.3161654,0.25188822,0.96775633,52.132572,-27.001778,0.0051705763,0.30141598,3,0.6700516,2.1122932,2.1291316,0.6233424,-2.035167,-9.010002,17.223703,-0.20840524,0.21035522,2.2129633,-0.11638492
4.08,0.1550943,1.3363409,2.277337,1.5858086,1.4154267,0.15474525,0.9879544,52.149445,-26.929493,-0.0035209444,0.3064645,3,0.42181015,1.8071175,2.481532,0.5049512,-2.428574,-9.009999,-6.03143,-0.21728802,0.12621284,1.8506228,-0.13708633
4.12,0.1550943,1.3363409,1.4032598,1.4059924,1.4949493,0.07577428,0.99712497,52.157364,-26.868399,0.032330427,0.24591643,3,0.19798279,1.5273571,1.9880652,0.2292648,-1.9742742,-4.495406,-21.851933,0.8962843,-1.5137017,1.5379679,-0.08167919
4.16,0.1550943,1.3363409,0.9372116,1.3557876,1.5427542,0.02803848,0.99960685,52.158558,-26.812687,0.06205808,0.20958757,3,0.029850006,1.3927937,1.1951208,0.062046945,-1.193395,-1.2551188,-11.651204,0.7431913,-0.9082213,1.3930831,0.009213546
4.2,0.1550943,1.3363409,0.7895935,1.3417705,1.5779235,-0.007127149,0.9999746,52.1561,-26.758656,0.06779101,0.18779027,3,-0.061416626,1.3507843,0.8792341,0.009194016,-0.87914073,-0.35042763,-3.6904514,0.14332318,-0.5449325,1.3511877,0.051787823
4.24,0.1550943,1.3363409,0.71677524,1.3378569,1.608483,-0.03767771,0.99928993,52.151695,-26.705206,0.06535479,0.17471188,3,-0.11014938,1.3362408,0.7639855,-0.017116964,-0.763764,-0.097841024,-1.820457,-0.060905516,-0.3269598,1.3394421,0.059724677
